source,target,source_lexname,target_lexname,lexical_function
ls:fr:node:27185,ls:fr:node:41570,douche,prendre,Oper1
ls:fr:node:27215,ls:fr:node:44435,éclair,cracher,Oper1
ls:fr:node:27309,ls:fr:node:34765,ennemi,être,Oper1
ls:fr:node:27348,ls:fr:node:33677,environnement,appartenir,Oper1
ls:fr:node:27348,ls:fr:node:38628,environnement,faire partie,Oper1
ls:fr:node:27348,ls:fr:node:39052,environnement,constituer,Oper1
ls:fr:node:27497,ls:fr:node:33677,famille,appartenir,Oper1
ls:fr:node:27497,ls:fr:node:38628,famille,faire partie,Oper1
ls:fr:node:27502,ls:fr:node:27370,fatigue,éprouver,Oper1
ls:fr:node:27502,ls:fr:node:29223,fatigue,ressentir,Oper1
ls:fr:node:27584,ls:fr:node:39134,football,faire,Oper1
ls:fr:node:27584,ls:fr:node:39115,football,jouer,Oper1
ls:fr:node:27640,ls:fr:node:56691,frustration,avoir,Oper1
ls:fr:node:27640,ls:fr:node:27370,frustration,éprouver,Oper1
ls:fr:node:27640,ls:fr:node:29223,frustration,ressentir,Oper1
ls:fr:node:27754,ls:fr:node:56691,grippe,avoir,Oper1
ls:fr:node:27754,ls:fr:node:50447,grippe,souffrir,Oper1
ls:fr:node:27782,ls:fr:node:39134,gymnastique,faire,Oper1
ls:fr:node:27791,ls:fr:node:56691,haine,avoir,Oper1
ls:fr:node:27791,ls:fr:node:27370,haine,éprouver,Oper1
ls:fr:node:27791,ls:fr:node:29223,haine,ressentir,Oper1
ls:fr:node:27825,ls:fr:node:26181,hold-up,accomplir,Oper1
ls:fr:node:27825,ls:fr:node:26837,hold-up,commettre,Oper1
ls:fr:node:27825,ls:fr:node:27458,hold-up,exécuter,Oper1
ls:fr:node:27825,ls:fr:node:39134,hold-up,faire,Oper1
ls:fr:node:27825,ls:fr:node:39361,hold-up,perpétrer,Oper1
ls:fr:node:27825,ls:fr:node:40869,hold-up,réaliser,Oper1
ls:fr:node:27837,ls:fr:node:27370,horreur,éprouver,Oper1
ls:fr:node:27837,ls:fr:node:29223,horreur,ressentir,Oper1
ls:fr:node:28009,ls:fr:node:56691,jalousie,avoir,Oper1
ls:fr:node:28009,ls:fr:node:27370,jalousie,éprouver,Oper1
ls:fr:node:28009,ls:fr:node:29223,jalousie,ressentir,Oper1
ls:fr:node:28011,ls:fr:node:43932,jambes,avoir,Oper1
ls:fr:node:28027,ls:fr:node:39134,jogging,faire,Oper1
ls:fr:node:28040,ls:fr:node:39134,judo,faire,Oper1
ls:fr:node:28056,ls:fr:node:39134,karaté,faire,Oper1
ls:fr:node:28056,ls:fr:node:39833,karaté,combattre,Oper1
ls:fr:node:28219,ls:fr:node:56691,maladie,avoir,Oper1
ls:fr:node:28219,ls:fr:node:50447,maladie,souffrir,Oper1
ls:fr:node:28327,ls:fr:node:34765,mère,être,Oper1
ls:fr:node:28333,ls:fr:node:51310,messe,célébrer,Oper1
ls:fr:node:28333,ls:fr:node:27137,messe,dire,Oper1
ls:fr:node:28333,ls:fr:node:40975,messe,officier,Oper1
ls:fr:node:28456,ls:fr:node:39134,musique,faire,Oper1
ls:fr:node:28466,ls:fr:node:33677,nation,appartenir,Oper1
ls:fr:node:28466,ls:fr:node:38628,nation,faire partie,Oper1
ls:fr:node:28601,ls:fr:node:46938,ouf,pousser,Oper1
ls:fr:node:28688,ls:fr:node:27494,pâte,faire,Oper1
ls:fr:node:28701,ls:fr:node:39134,pause,faire,Oper1
ls:fr:node:28701,ls:fr:node:41570,pause,prendre,Oper1
ls:fr:node:28737,ls:fr:node:34765,père,être,Oper1
ls:fr:node:28764,ls:fr:node:56691,peur,avoir,Oper1
ls:fr:node:28764,ls:fr:node:27370,peur,éprouver,Oper1
