source,target,source_lexname,target_lexname
ls:fr:node:26668,ls:fr:node:39509,cauchemar,faire
ls:fr:node:26709,ls:fr:node:39134,chantage,faire
ls:fr:node:26983,ls:fr:node:39134,cuisine,faire
ls:fr:node:27052,ls:fr:node:39134,demi-tour,faire
ls:fr:node:28688,ls:fr:node:27494,pâte,faire
ls:fr:node:27142,ls:fr:node:39134,discours,faire
ls:fr:node:55643,ls:fr:node:39134,pompe,faire
ls:fr:node:27584,ls:fr:node:39134,football,faire
ls:fr:node:55358,ls:fr:node:39134,caca,faire
ls:fr:node:27782,ls:fr:node:39134,gymnastique,faire
ls:fr:node:27825,ls:fr:node:39134,hold-up,faire
ls:fr:node:54496,ls:fr:node:39134,saut,faire
ls:fr:node:28027,ls:fr:node:39134,jogging,faire
ls:fr:node:28040,ls:fr:node:39134,judo,faire
ls:fr:node:28056,ls:fr:node:39134,karaté,faire
ls:fr:node:55776,ls:fr:node:39509,quarantaine,faire
ls:fr:node:30938,ls:fr:node:39134,vaisselle,faire
ls:fr:node:53917,ls:fr:node:39134,excentricité,faire
ls:fr:node:49302,ls:fr:node:39509,dentition,faire
ls:fr:node:31022,ls:fr:node:39134,tête-à-queue,faire
ls:fr:node:31203,ls:fr:node:39134,bœuf,faire
ls:fr:node:50305,ls:fr:node:39134,vélo elliptique,faire
ls:fr:node:31290,ls:fr:node:39134,cheval,faire
ls:fr:node:49449,ls:fr:node:39134,table rase,faire
ls:fr:node:31814,ls:fr:node:39509,choix,faire
ls:fr:node:49352,ls:fr:node:39134,études,faire
ls:fr:node:32188,ls:fr:node:39134,demande,faire
ls:fr:node:32792,ls:fr:node:39134,causette,faire
ls:fr:node:32898,ls:fr:node:39134,course,faire
ls:fr:node:32973,ls:fr:node:39134,fellation,faire
ls:fr:node:32975,ls:fr:node:39134,pompier,faire
ls:fr:node:48998,ls:fr:node:39134,badminton,faire
ls:fr:node:50540,ls:fr:node:39134,rapport,faire
ls:fr:node:33033,ls:fr:node:39134,culture,faire
